Year,Session,Subject,Max_Total_Mark,Grade_A_Star_Threshold,Grade_A_Threshold,Grade_B_Threshold,Grade_C_Threshold,Grade_D_Threshold,Grade_E_Threshold,COVID_Period
2016,M_J,Add_Maths,160,150,120,90,64,51,39,Pre_COVID
2016,M_J,Biology,160,133,113,92,73,61,49,Pre_COVID
2016,M_J,Business_Studies,160,103,89,75,61,50,39,Pre_COVID
2016,M_J,Chemistry,145,128,105,81,59,48,38,Pre_COVID
2016,M_J,Computer_Science,125,99,84,69,54,44,34,Pre_COVID
2016,M_J,Economics,150,117,102,87,73,62,51,Pre_COVID
2016,M_J,English_Language,100,79,71,62,54,46,38,Pre_COVID
2016,M_J,Islamiat,100,61,53,45,38,31,25,Pre_COVID
2016,M_J,Mathematics,200,167,133,94,62,46,30,Pre_COVID
2016,M_J,Pakistan_Studies,150,107,90,73,57,43,30,Pre_COVID
2016,M_J,Physics,145,121,101,80,60,48,37,Pre_COVID
2016,M_J,Urdu,110,96,86,74,62,51,41,Pre_COVID
2016,O_N,Add_Maths,160,144,118,81,44,34,24,Pre_COVID
2016,O_N,Biology,160,128,108,88,69,58,47,Pre_COVID
2016,O_N,Business_Studies,160,101,86,71,56,45,35,Pre_COVID
2016,O_N,Chemistry,145,126,103,80,58,47,36,Pre_COVID
2016,O_N,Computer_Science,125,94,80,66,52,42,33,Pre_COVID
2016,O_N,Economics,150,129,109,89,69,57,46,Pre_COVID
2016,O_N,English_Language,100,79,70,61,53,47,41,Pre_COVID
2016,O_N,Islamiat,100,68,58,48,38,32,26,Pre_COVID
2016,O_N,Mathematics,200,188,160,117,75,53,32,Pre_COVID
2016,O_N,Pakistan_Studies,150,114,97,80,64,47,31,Pre_COVID
2016,O_N,Physics,145,115,96,77,58,46,35,Pre_COVID
2016,O_N,Urdu,110,98,91,78,65,53,41,Pre_COVID
2017,M_J,Add_Maths,160,140,113,86,59,49,39,Pre_COVID
2017,M_J,Biology,160,134,112,90,69,57,45,Pre_COVID
2017,M_J,Business_Studies,160,110,95,80,65,53,42,Pre_COVID
2017,M_J,Chemistry,145,132,109,86,64,53,42,Pre_COVID
2017,M_J,Computer_Science,125,100,84,68,52,44,36,Pre_COVID
2017,M_J,Economics,150,126,109,92,75,63,51,Pre_COVID
2017,M_J,English_Language,100,80,71,62,54,47,40,Pre_COVID
2017,M_J,Islamiat,100,60,52,44,37,31,25,Pre_COVID
2017,M_J,Mathematics,200,186,147,108,69,51,34,Pre_COVID
2017,M_J,Pakistan_Studies,150,115,99,83,68,54,40,Pre_COVID
